haar,haar_d,dabu5,daub5_d,symlet,symlet_d,coiff5,coiff5_d,daub2,daub2_d,daub4,daub4_d,daub6,daub6_d,daub8,daub8_d,daub10,daub10,daub12,daub12,daub14,daub14_d,daub16,daub16_d,daub18,daub18_d,daub20,daub20_d,daub3,daub3_d,coiff3,coiff3_d
,,,,,,0.774289604,0.002433373,,,,,0.004777258,0.49462389,0.013981028,-0.284015543,-0.029457537,-0.071394147,-0.09643212,-0.012218649,-0.086748412,-0.000746219,0.027340264,0.000407897,0.167081313,0.000213582,0.228291051,6.77E-05,,,0.034555028,0.428483476
,,,,,,0.437991626,-0.006764185,,,,,-0.001077301,-0.111540743,0.008746094,0.015829105,0.033212674,-0.093057365,0.01084913,-0.041546277,-0.071548956,-0.012789493,-0.132388306,-0.003128023,-0.092331884,-0.000628466,0.039850246,-0.000101533,,,0.015880545,-0.793777223
,,,,,,-0.062035964,-0.009164231,,,,,,,-0.004870353,0.585354684,0.003606554,0.12736934,0.041546277,0.01084913,0.055237126,-0.00561505,-0.006239723,-0.00364428,-0.106752247,-0.001340596,-0.155458751,-0.000385105,,,-0.009007976,0.405176902
,,,,,,-0.105574209,0.019761779,,,,,,,-0.00039174,-0.675630736,-0.010733175,0.195946274,-0.012218649,0.09643212,0.026981408,0.030185352,0.075924236,0.006990015,0.064887216,0.001118733,-0.024716827,5.35E-05,,,-0.002574518,0.06112339
,,,,,,0.041289209,0.032683574,,,,,,,0.000675449,0.312871591,0.001395352,-0.249846424,-0.012840825,0.00535957,-0.030185352,0.026981408,-0.007588974,0.013993769,0.057051248,0.004943344,0.102291719,0.00139256,,,0.001117519,-0.065771911
,,,,,,0.032683574,-0.041289209,,,,,,,-0.000117477,-0.054415842,0.001992405,-0.281172344,0.006711499,-0.182478606,-0.00561505,-0.055237126,-0.036888398,-0.01029766,-0.044526142,-0.00011863,0.005632247,0.000831562,,,0.000466217,-0.023452696
,,,,,,-0.019761779,-0.105574209,,,,,,,,,-0.000685857,0.688459039,0.002248607,-0.023779257,0.012789493,-0.071548956,0.01029766,-0.036888398,-0.02373321,-0.013051481,-0.0617229,-0.003581494,,,-7.10E-05,0.007782596
,,,,,,-0.009164231,0.062035964,,,,,,,,,-0.000116467,-0.527201189,-0.002179504,0.316178454,-0.000746219,0.086748412,0.013993769,0.007588974,0.026670706,-0.006262168,0.005874682,-0.004420542,,,-3.46E-05,0.003793513
,,,,,,0.006764185,0.437991626,,,,,,,,,9.36E-05,0.1881768,6.55E-06,-0.044763886,-0.003849639,0.139989017,-0.006990015,0.075924236,0.006262168,0.026670706,0.0322943,0.006721627,,,,
,,,,,,0.002433373,-0.774289604,,,,,,,,,-1.33E-05,-0.026670058,0.000388653,-0.515886478,0.001061691,-0.138395214,-0.00364428,0.006239723,-0.013051481,0.02373321,-0.008789325,0.013810526,,,,
,,,,,,-0.001662864,0.421566207,,,,,,,,,,,-8.85E-05,0.657198723,0.000708021,-0.21803353,0.003128023,-0.132388306,0.00011863,-0.044526142,-0.013810526,-0.008789325,,,,
,,,,,,-0.000638131,0.052043163,,,,,,,,,,,-2.42E-05,-0.377355135,-0.000386832,0.271688552,0.000407897,-0.027340264,0.004943344,-0.057051248,0.006721627,-0.0322943,,,,
,,,,,,0.00030226,-0.091920011,,,,,,,,,,,1.28E-05,0.109566273,-4.18E-05,0.218670688,-0.000941022,0.211190694,-0.001118733,0.064887216,0.004420542,0.005874682,,,,
,,,,,,0.000140541,-0.028168029,,,,,,,,,,,-1.53E-06,-0.013112258,6.88E-05,-0.631187849,0.000114242,0.027918208,-0.001340596,0.106752247,-0.003581494,0.0617229,,,,
